Field,Type,Null,Key,Default,Extra
iso_code,text,YES,"",,""
continent,text,YES,"",,""
location,text,YES,"",,""
date,text,YES,"",,""
total_cases,double,YES,"",,""
new_cases,double,YES,"",,""
new_cases_smoothed,double,YES,"",,""
total_deaths,double,YES,"",,""
new_deaths,double,YES,"",,""
new_deaths_smoothed,double,YES,"",,""
total_cases_per_million,double,YES,"",,""
new_cases_per_million,double,YES,"",,""
new_cases_smoothed_per_million,double,YES,"",,""
total_deaths_per_million,double,YES,"",,""
new_deaths_per_million,double,YES,"",,""
new_deaths_smoothed_per_million,double,YES,"",,""
reproduction_rate,double,YES,"",,""
icu_patients,text,YES,"",,""
icu_patients_per_million,text,YES,"",,""
hosp_patients,text,YES,"",,""
hosp_patients_per_million,text,YES,"",,""
weekly_icu_admissions,text,YES,"",,""
weekly_icu_admissions_per_million,text,YES,"",,""
weekly_hosp_admissions,text,YES,"",,""
weekly_hosp_admissions_per_million,text,YES,"",,""
total_tests,text,YES,"",,""
new_tests,text,YES,"",,""
total_tests_per_thousand,text,YES,"",,""
new_tests_per_thousand,text,YES,"",,""
new_tests_smoothed,text,YES,"",,""
new_tests_smoothed_per_thousand,text,YES,"",,""
positive_rate,text,YES,"",,""
tests_per_case,text,YES,"",,""
tests_units,text,YES,"",,""
total_vaccinations,text,YES,"",,""
people_vaccinated,text,YES,"",,""
people_fully_vaccinated,text,YES,"",,""
total_boosters,text,YES,"",,""
new_vaccinations,text,YES,"",,""
new_vaccinations_smoothed,text,YES,"",,""
total_vaccinations_per_hundred,text,YES,"",,""
people_vaccinated_per_hundred,text,YES,"",,""
people_fully_vaccinated_per_hundred,text,YES,"",,""
total_boosters_per_hundred,text,YES,"",,""
new_vaccinations_smoothed_per_million,text,YES,"",,""
new_people_vaccinated_smoothed,text,YES,"",,""
new_people_vaccinated_smoothed_per_hundred,text,YES,"",,""
stringency_index,double,YES,"",,""
population,double,YES,"",,""
population_density,double,YES,"",,""
median_age,double,YES,"",,""
aged_65_older,double,YES,"",,""
aged_70_older,double,YES,"",,""
gdp_per_capita,double,YES,"",,""
extreme_poverty,text,YES,"",,""
cardiovasc_death_rate,double,YES,"",,""
diabetes_prevalence,double,YES,"",,""
female_smokers,text,YES,"",,""
male_smokers,text,YES,"",,""
handwashing_facilities,double,YES,"",,""
hospital_beds_per_thousand,double,YES,"",,""
life_expectancy,double,YES,"",,""
human_development_index,double,YES,"",,""
excess_mortality_cumulative_absolute,text,YES,"",,""
excess_mortality_cumulative,text,YES,"",,""
excess_mortality,text,YES,"",,""
excess_mortality_cumulative_per_million,text,YES,"",,""
